0.112,0.036,1.000,0.717,-3.319,0.237,263497
0.115,0.026,1.025,0.031,0.137,0.114,263507
0.124,0.021,0.994,-0.954,3.098,0.084,263516
0.111,0.033,0.999,0.809,-2.808,0.229,263526
0.115,0.031,1.023,0.404,-1.320,0.252,263536
0.123,0.026,0.998,-0.893,3.761,0.214,263546
0.115,0.036,0.990,0.420,-1.610,0.160,263557
0.120,0.036,1.022,0.626,-2.892,0.114,263567
0.122,0.027,1.011,-0.816,3.639,0.092,263577
0.114,0.032,0.984,-0.160,0.381,0.252,263587
0.113,0.034,1.012,0.977,-3.792,0.237,263596
0.125,0.026,1.019,-0.702,2.190,0.061,263606
0.120,0.027,0.990,-0.473,1.694,0.198,263616
0.117,0.038,1.004,0.877,-3.532,0.206,263626
0.114,0.028,1.021,-0.160,1.015,0.168,263636
0.121,0.023,0.991,-0.809,2.602,0.107,263647
0.114,0.037,1.001,0.824,-3.258,0.183,263657
0.115,0.032,1.027,0.206,-0.557,0.137,263667
0.122,0.026,0.994,-0.954,3.693,0.145,263677
0.115,0.036,0.992,0.557,-2.251,0.214,263686
0.116,0.032,1.026,0.595,-2.373,0.122,263696
0.122,0.027,1.010,-0.900,3.799,0.114,263706
0.109,0.030,0.987,0.023,-0.107,0.214,263716
0.116,0.036,1.014,0.908,-3.693,0.145,263727
0.125,0.025,1.016,-0.641,2.441,0.160,263737
0.120,0.029,0.991,-0.412,1.358,0.214,263747
0.116,0.038,1.008,0.916,-3.639,0.221,263757
0.116,0.030,1.020,-0.343,1.389,0.160,263766
0.122,0.026,0.989,-0.862,2.480,0.160,263776
0.115,0.037,1.003,0.862,-3.647,0.198,263786
0.116,0.031,1.025,0.084,-0.237,0.160,263796
0.123,0.024,0.994,-1.038,3.700,0.130,263806
0.116,0.032,0.991,0.603,-2.434,0.221,263817
0.116,0.031,1.026,0.618,-2.281,0.130,263827
0.117,0.025,1.009,-0.854,3.860,0.168,263837
0.113,0.032,0.984,0.076,-0.221,0.237,263847
0.117,0.037,1.015,1.045,-3.754,0.191,263856
0.128,0.026,1.017,-0.702,2.502,0.061,263866
0.119,0.031,0.991,-0.404,1.442,0.221,263876
0.115,0.038,1.008,0.862,-3.448,0.206,263886
0.117,0.029,1.020,-0.305,1.236,0.130,263897
0.122,0.023,0.991,-0.793,2.319,0.114,263907
0.115,0.036,1.004,0.870,-3.464,0.191,263917
0.115,0.033,1.025,0.099,-0.168,0.191,263927
0.118,0.025,0.995,-0.992,3.601,0.145,263936
0.116,0.035,0.992,0.587,-2.411,0.198,263946
0.120,0.037,1.024,0.526,-2.304,0.145,263956
0.118,0.027,1.010,-0.870,3.777,0.198,263966
0.113,0.032,0.986,-0.076,-0.175,0.237,263976
0.115,0.036,1.015,0.923,-3.647,0.145,263987
0.123,0.025,1.017,-0.656,2.350,0.053,263997
0.120,0.027,0.990,-0.420,1.564,0.198,264007
0.113,0.029,1.022,-0.214,1.053,0.130,264017
0.113,0.029,1.022,-0.214,1.053,0.130,264026
0.121,0.025,0.992,-0.862,2.632,0.175,264036
0.115,0.039,1.000,0.786,-3.265,0.275,264046
0.120,0.037,1.024,0.206,-0.763,0.122,264056
0.120,0.027,0.997,-1.022,3.693,0.092,264067
0.116,0.032,0.992,0.328,-1.770,0.175,264077
0.117,0.022,1.013,-0.763,3.387,0.191,264087
0.107,0.023,0.987,-0.244,0.664,0.252,264097
0.120,0.034,1.012,0.992,-3.746,0.198,264108
0.120,0.034,1.012,0.992,-3.746,0.198,264116
0.124,0.027,1.019,-0.313,1.289,0.084,264126
0.122,0.025,0.993,-0.511,2.205,0.191,264136
