0.007,1.011,0.038,-0.160,0.160,3326339
-0.017,-0.000,1.007,0.214,-0.023,0.259,3328815
-0.017,-0.000,1.007,0.214,-0.023,0.259,3328821
-0.019,0.003,1.009,-0.061,-0.252,0.153,3328827
-0.023,0.004,1.014,0.076,-0.175,0.084,3328835
-0.023,0.004,1.014,0.076,-0.175,0.084,3328841
-0.022,-0.000,1.015,0.076,-0.206,0.145,3328847
-0.022,-0.006,1.012,0.015,-0.153,0.153,3328854
-0.022,-0.006,1.012,0.015,-0.153,0.153,3328860
-0.019,-0.011,1.006,0.145,-0.122,0.214,3328866
-0.017,-0.014,1.011,0.000,-0.099,0.244,3328872
-0.017,-0.014,1.011,0.000,-0.099,0.244,3328878
-0.014,-0.015,1.012,0.000,-0.381,0.214,3328886
-0.012,-0.014,1.015,0.191,-0.031,0.175,3328892
-0.012,-0.014,1.015,0.191,-0.031,0.175,3328899
-0.014,-0.010,1.014,0.206,-0.214,0.114,3328905
-0.014,-0.010,1.014,0.206,-0.214,0.114,3328911
-0.014,-0.006,1.008,0.092,0.046,0.175,3328917
-0.019,-0.002,1.011,0.282,-0.130,0.221,3328923
-0.019,-0.002,1.011,0.282,-0.130,0.221,3328929
-0.021,0.002,1.011,-0.031,-0.214,0.282,3328937
-0.021,0.000,1.014,0.023,-0.137,0.275,3328944
-0.021,0.000,1.014,0.023,-0.137,0.275,3328950
-0.023,-0.003,1.013,0.168,-0.160,0.168,3328956
-0.019,-0.008,1.010,0.084,-0.175,0.084,3328962
-0.019,-0.008,1.010,0.084,-0.175,0.084,3328968
-0.015,-0.015,1.009,0.053,-0.130,0.130,3328974
-0.013,-0.018,1.012,0.099,-0.298,0.160,3328980
-0.013,-0.018,1.012,0.099,-0.298,0.160,3328989
-0.011,-0.016,1.011,0.053,-0.122,0.237,3328995
-0.015,-0.007,1.016,0.198,-0.122,0.305,3329001
-0.015,-0.007,1.016,0.198,-0.122,0.305,3329007
-0.018,-0.000,1.009,0.221,-0.099,0.237,3329013
-0.018,-0.000,1.009,0.221,-0.099,0.237,3329019
-0.019,0.006,1.010,0.046,0.015,0.183,3329026
-0.023,0.002,1.010,0.114,-0.328,0.145,3329034
-0.023,0.002,1.010,0.114,-0.328,0.145,3329040
-0.020,-0.005,1.010,-0.076,-0.076,0.153,3329046
-0.019,-0.013,1.013,0.031,-0.122,0.114,3329052
-0.019,-0.013,1.013,0.031,-0.122,0.114,3329058
-0.017,-0.017,1.015,0.061,-0.229,0.168,3329064
-0.014,-0.017,1.009,0.153,-0.114,0.214,3329071
-0.014,-0.017,1.009,0.153,-0.114,0.214,3329077
-0.016,-0.011,1.017,0.084,-0.214,0.252,3329085
-0.014,-0.007,1.004,0.229,-0.206,0.206,3329091
-0.014,-0.007,1.004,0.229,-0.206,0.206,3329097
-0.017,-0.001,1.021,0.069,0.000,0.198,3329103
-0.017,-0.001,1.021,0.069,0.000,0.198,3329110
-0.019,-0.001,1.007,0.237,-0.336,0.168,3329116
-0.020,-0.000,1.017,-0.015,0.046,0.229,3329122
-0.020,-0.000,1.017,-0.015,0.046,0.229,3329128
-0.016,-0.004,1.005,0.168,-0.381,0.198,3329136
-0.021,-0.006,1.022,-0.061,0.092,0.198,3329142
-0.021,-0.006,1.022,-0.061,0.092,0.198,3329148
-0.018,-0.012,1.005,-0.031,-0.504,0.183,3329155
-0.018,-0.013,1.017,0.145,0.092,0.237,3329161
-0.018,-0.013,1.017,0.145,0.092,0.237,3329167
-0.018,-0.015,1.007,0.000,-0.168,0.160,3329173
-0.014,-0.010,1.016,0.130,-0.168,0.153,3329179
-0.014,-0.010,1.016,0.130,-0.168,0.153,3329187
-0.014,-0.007,1.005,0.221,-0.122,0.214,3329193
-0.014,-0.007,1.005,0.221,-0.122,0.214,3329200
-0.020,-0.003,1.024,-0.160,0.145,0.175,3329206
-0.013,-0.002,0.996,0.237,-0.404,0.259,3329212
-0.013,-0.002,0.996,0.237,-0.404,0.259,3329218
